x,result
-3.141592653589793,-1.2246467991473532e-16
-3.140964272220938,-0.0006283813275010293
-3.1403358908520835,-0.0012567624068768731
-3.1397075094832285,-0.0018851429900040213
-3.139079128114374,-0.0025135228287572605
-3.138450746745519,-0.0031419016750134482
-3.137822365376664,-0.0037702792806485006
-3.1371939840078094,-0.004398655397538825
-3.1365656026389543,-0.005027029777562747
-3.1359372212700993,-0.005655402172597948
-3.1353088399012448,-0.006283772334522893
-3.1346804585323897,-0.006912140015218258
-3.134052077163535,-0.007540504966563926
-3.13342369579468,-0.008168866940442632
-3.132795314425825,-0.008797225688736955
-3.1321669330569706,-0.009425580963330748
-3.1315385516881156,-0.010053932516110567
-3.1309101703192606,-0.010682280098963107
-3.130281788950406,-0.011310623463776629
-3.129653407581551,-0.011938962362442393
-3.1290250262126964,-0.012567296546851644
-3.1283966448438414,-0.013195625768899266
-3.1277682634749864,-0.013823949780480774
-3.127139882106132,-0.014452268333493733
-3.126511500737277,-0.015080581179839203
-3.1258831193684222,-0.015708888071418715
-3.125254737999567,-0.01633718876013793
-3.124626356630712,-0.01696548299790363
-3.1239979752618576,-0.01759377053662514
-3.1233695938930026,-0.018222051128215754
-3.1227412125241476,-0.0188503245245902
-3.122112831155293,-0.019478590477666022
-3.121484449786438,-0.02010684873936505
-3.1208560684175835,-0.020735099061610373
-3.1202276870487284,-0.021363341196329988
-3.1195993056798734,-0.02199157489545379
-3.118970924311019,-0.02261979991091502
-3.118342542942164,-0.023248015994651657
-3.117714161573309,-0.023876222898603895
-3.1170857802044543,-0.02450442037471554
-3.1164573988355992,-0.025132608174935456
-3.1158290174667447,-0.025760786051214558
-3.1152006360978897,-0.02638895375550945
-3.1145722547290347,-0.027017111039779416
-3.11394387336018,-0.027645257655987864
-3.113315491991325,-0.028273393356103738
-3.1126871106224705,-0.028901517892098525
-3.1120587292536155,-0.029529631015949888
-3.1114303478847605,-0.030157732479638672
-3.110801966515906,-0.030785822035150318
-3.110173585147051,-0.031413899434476304
-3.109545203778196,-0.03204196442961158
-3.1089168224093413,-0.032670016772555995
-3.1082884410404863,-0.03329805621531571
-3.1076600596716317,-0.03392608250990023
-3.1070316783027767,-0.034554095408326005
-3.1064032969339217,-0.03518209466261345
-3.105774915565067,-0.035810080024788374
-3.105146534196212,-0.036438051246883395
-3.104518152827357,-0.03706600808093539
-3.1038897714585025,-0.0376939502789869
-3.1032613900896475,-0.03832187759308761
-3.102633008720793,-0.038949789775291274
-3.102004627351938,-0.03957768657765941
-3.101376245983083,-0.040205567752258274
-3.1007478646142284,-0.0408334330511603
-3.1001194832453733,-0.04146128222644552
-3.0994911018765188,-0.04208911503019854
-3.0988627205076638,-0.04271693121451224
-3.0982343391388087,-0.0433447305314847
-3.097605957769954,-0.04397251273322068
-3.096977576401099,-0.044600277571833005
-3.096349195032244,-0.04522802479944006
-3.0957208136633896,-0.04585575416816716
-3.0950924322945346,-0.046483465430147995
-3.09446405092568,-0.047111158337521664
-3.093835669556825,-0.047738832642436245
-3.09320728818797,-0.04836648809704587
-3.0925789068191154,-0.04899412445351209
-3.0919505254502604,-0.04962174146400534
-3.0913221440814054,-0.05024933888070234
-3.090693762712551,-0.05087691645578759
-3.090065381343696,-0.051504473941454715
-3.0894369999748412,-0.05213201108990352
-3.088808618605986,-0.0527595276533436
-3.088180237237131,-0.05338702338399137
-3.0875518558682766,-0.05401449803407145
-3.0869234744994216,-0.05464195135581812
-3.086295093130567,-0.0552693831014723
-3.085666711761712,-0.055896793023285235
-3.085038330392857,-0.05652418087351542
-3.0844099490240025,-0.057151546404430084
-3.0837815676551474,-0.05777888936830659
-3.0831531862862924,-0.0584062095174299
-3.082524804917438,-0.059033506604093955
-3.081896423548583,-0.059660780380603164
-3.0812680421797283,-0.06028803059926934
-3.0806396608108733,-0.0609152570124154
-3.0800112794420182,-0.06154245937237231
-3.0793828980731637,-0.062169637431480525
-3.0787545167043087,-0.06279679094209145
-3.0781261353354537,-0.06342391965656484
-3.077497753966599,-0.06405102332727025
-3.076869372597744,-0.06467810170658843
-3.0762409912288895,-0.06530515454690838
-3.0756126098600345,-0.06593218160063094
-3.0749842284911795,-0.06655918262016577
-3.074355847122325,-0.06718615735793289
-3.07372746575347,-0.06781310556636393
-3.073099084384615,-0.06844002699789974
-3.0724707030157603,-0.06906692140499171
-3.0718423216469053,-0.06969378854010323
-3.0712139402780507,-0.07032062815570671
-3.0705855589091957,-0.07094744000428717
-3.0699571775403407,-0.0715742238383393
-3.069328796171486,-0.07220097941036878
-3.068700414802631,-0.07282770647289388
-3.0680720334337765,-0.07345440477844227
-3.0674436520649215,-0.0740810740795548
-3.0668152706960665,-0.07470771412878242
-3.066186889327212,-0.07533432467868763
-3.065558507958357,-0.0759609054818459
-3.064930126589502,-0.07658745629084317
-3.0643017452206474,-0.07721397685827713
-3.0636733638517923,-0.07784046693675883
-3.0630449824829378,-0.07846692627890953
-3.0624166011140828,-0.07909335463736443
-3.0617882197452277,-0.07971975176476961
-3.061159838376373,-0.08034611741378352
-3.060531457007518,-0.08097245133707832
-3.0599030756386636,-0.08159875328733696
-3.0592746942698086,-0.08222502301725677
-3.0586463129009536,-0.0828512602795465
-3.058017931532099,-0.08347746482692767
-3.057389550163244,-0.08410363641213608
-3.056761168794389,-0.08472977478791925
